orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
SKS Tourist Corporation (REGD),23:50,06h 40m,06:30,899,3.0,35,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
SURAJ TRAVEL HOUSE,22:30,07h 30m,06:00,699,3.0,24,VE A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
SKS Tourist Corporation (REGD),23:45,05h 45m,05:30,849,4.0,28,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
DLT BUS,23:59,06h 31m,06:30,899,3.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Suraj Holidays,23:59,07h 16m,07:15,950,3.0,34,VE A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Orange Tours And Travels,16:45,06h 45m,23:30,1000,2.0,39,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
SURAJ TRAVEL HOUSE,23:00,07h 00m,06:00,699,2.0,40,VE A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
SKS Tourist Corporation (REGD),23:55,06h 35m,06:30,899,2.0,34,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Orange Tours And Travels,16:30,07h 00m,23:30,1000,2.0,33,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Kallada Travels (Suresh Kallada),15:50,07h 20m,23:10,900,4.0,34,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
CHANCHALAS TOURS AND TRAVELS,17:35,06h 40m,00:15,799,3.0,21,A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
A1 Travels,23:45,06h 45m,06:30,700,3.0,21,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Kyros Connect,19:05,06h 10m,01:15,899,3.0,40,A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Madhavi Travels,00:15,03h 45m,04:00,549,4.0,36,A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
UFO Bus,00:30,03h 00m,03:30,612,4.0,18,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,00:45,03h 20m,04:05,529,4.0,17,A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,00:49,03h 16m,04:05,499,4.0,24,A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kallada Travels (Suresh Kallada),01:00,02h 30m,03:30,900,3.0,1,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,01:30,02h 20m,03:50,799,4.0,43,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Sheraton Tours and Travels,01:45,02h 45m,04:30,480,4.0,36,A/C Seater/Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Ubc travels,01:45,02h 00m,03:45,900,3.0,19,A/C Seater/Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
EMERALD TRAVELS,21:56,02h 34m,00:30,617,3.0,32,Bharat Benz A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
BLM Transports,22:00,03h 00m,01:00,922,3.0,28,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,22:20,02h 50m,01:10,999,4.0,17,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Kallada Travels (Suresh Kallada),23:15,02h 26m,01:41,850,3.0,25,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,23:30,03h 20m,02:50,899,4.0,21,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Madhavi Travels,23:30,01h 40m,01:10,899,4.0,11,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
A1 Travels,23:30,02h 00m,01:30,1000,3.0,36,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Arya Travels,23:59,03h 31m,03:30,699,3.0,1,Volvo Multi-Axle A/C Semi Sleeper (2+2),https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
