orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
NueGo,23:25,07h 30m,06:55,332.0,4.0,36,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,23:30,06h 15m,05:45,590.0,4.0,20,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Tirumala Xpress,23:20,06h 50m,06:10,699.0,4.0,39,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,21:30,07h 50m,05:20,379.0,4.0,27,Electric A/C Seater/Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Durga Malleswari Travels,22:30,07h 25m,05:55,827.0,4.0,27,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
V Kaveri Travels,23:05,06h 45m,05:50,580.0,4.0,27,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Anjani Bus,23:15,06h 33m,05:48,499.0,3.0,29,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,22:45,07h 12m,05:57,341.0,4.0,23,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,23:20,06h 05m,05:25,530.0,3.0,22,NON A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,10:05,07h 45m,17:50,332.0,3.0,29,Electric A/C Seater/Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,23:59,07h 13m,07:12,341.0,3.0,45,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:10,06h 52m,06:02,700.0,3.0,32,NON A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:45,06h 30m,06:15,900.0,3.0,28,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Royal Varma Travels,22:28,06h 49m,05:17,1080.0,4.0,24,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai RK Travels,22:10,07h 20m,05:30,559.0,3.0,27,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,23:05,06h 35m,05:40,469.0,4.0,28,VE A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,22:40,07h 10m,05:50,890.0,3.0,22,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:15,07h 30m,06:45,600.0,3.0,19,Bharat Benz A/C Seater /Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Venkteshwara Travels,15:20,05h 40m,21:00,399.0,3.0,25,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Durga Malleswari Travels,22:40,06h 50m,05:30,551.0,3.0,23,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:55,05h 50m,05:45,800.0,3.0,24,Bharat Benz A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,23:50,07h 22m,07:12,427.0,3.0,41,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Venkata Padmavathi Travels,22:20,07h 40m,06:00,630.0,4.0,30,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Atluri Travels,23:00,05h 45m,04:45,670.0,4.0,29,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
J GAGANA TRAVELS,00:30,05h 00m,05:30,610.0,0.0,26,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Mahi Trans Solutions,21:40,08h 20m,06:00,1299.0,0.0,25,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Naveen Tours and Travels,23:59,07h 06m,07:05,3999.0,0.0,25,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Mahi Trans Solutions,21:40,08h 20m,06:00,599.0,0.0,31,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sudha Sri Tours and Travels,23:10,06h 37m,05:47,699.0,4.0,34,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,23:35,06h 52m,06:27,427.0,3.0,17,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:00,06h 30m,05:30,700.0,3.0,26,NON A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Prasanna Travels,15:40,06h 50m,22:30,1500.0,3.0,28,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
NueGo,11:30,06h 52m,18:22,379.0,3.0,24,Electric A/C Seater (2+2),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Holidays Tours and Travels,23:45,06h 03m,05:48,578.0,4.0,22,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,23:10,06h 25m,05:35,790.0,3.0,29,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Kaveri Travels,23:56,06h 04m,06:00,810.0,4.0,27,A/C Volvo B11R Multi-Axle Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
